Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
37,746,"1,028.55","1,418.12","1,953.73","2,680.29","3,670.82","4,995.71","6,788.61","9,069.39","12,127.18","15,742.59","20,257.23","23,985.23","27,512.39","29,545.38","31,579.72","32,606.14","34,544.76","34,118.76","34,213.39","33,818.73","33,341.57","32,339.95","32,380.30","31,298.40","32,017.36","32,543.84","32,138.75","32,377.77","32,172.93","32,779.83"
38,746,"1,028.90","1,419.09","1,955.54","2,684.69","3,673.86","4,971.28","6,738.81","9,050.94","11,887.37","15,491.22","19,240.78","22,951.59","26,795.51","29,869.03","32,510.03","33,067.65","33,975.22","32,977.32","32,847.46","33,211.35","33,881.81","33,440.60","34,467.83","33,863.23","34,015.96","34,827.25","34,842.13","34,825.79","34,410.44","34,067.13"
39,746,"1,029.44","1,420.57","1,954.27","2,681.45","3,649.00","4,975.82","6,758.62","9,041.23","11,991.19","15,500.51","19,400.35","23,160.99","27,019.41","29,091.85","31,517.80","33,026.25","34,695.11","34,989.96","34,533.69","34,272.75","33,978.13","34,660.83","35,444.03","34,965.52","35,589.47","35,014.29","35,853.65","35,519.14","35,036.41","34,143.20"
40,746,"1,026.52","1,412.53","1,940.41","2,656.41","3,644.17","4,970.24","6,688.13","8,925.24","11,699.47","15,119.22","18,653.12","22,880.45","27,035.34","29,904.40","31,384.64","32,159.86","32,827.58","34,027.47","33,917.61","34,448.41","34,625.12","34,530.32","34,669.68","34,803.58","34,999.45","35,742.02","35,933.44","35,538.91","35,058.03","33,652.28"
41,746,"1,029.49","1,420.72","1,952.15","2,677.77","3,661.71","4,992.64","6,771.79","9,072.90","12,154.54","15,775.60","20,378.54","24,443.73","28,747.29","31,443.71","34,045.28","33,591.74","34,351.41","32,157.05","32,751.83","32,351.10","32,684.25","33,399.03","32,948.60","33,673.34","34,230.34","33,842.46","33,735.98","32,882.95","33,105.81","33,764.89"
42,746,"1,028.54","1,418.10","1,948.21","2,678.78","3,653.71","4,992.93","6,755.09","9,081.12","12,099.63","15,707.96","20,079.27","23,145.14","27,024.23","29,736.96","31,702.43","32,972.66","32,769.88","32,903.51","31,506.21","31,820.63","31,680.59","30,848.60","32,073.56","32,409.28","33,714.70","35,094.73","35,627.94","36,577.03","35,557.32","35,291.63"
43,746,"1,026.80","1,413.30","1,943.45","2,670.87","3,660.48","4,992.25","6,712.53","9,032.38","11,877.41","15,715.23","19,348.79","23,737.47","27,948.41","31,356.15","34,529.83","36,838.99","37,795.57","38,727.11","37,449.77","36,963.15","36,276.62","34,467.74","33,504.30","31,618.45","31,222.04","31,403.61","32,418.68","32,986.60","34,265.08","33,527.71"
44,746,"1,026.69","1,413.00","1,945.71","2,669.58","3,657.07","4,997.10","6,728.89","9,004.39","12,040.79","15,723.55","20,213.98","24,754.18","28,607.52","31,050.00","32,495.21","33,361.17","34,549.82","33,595.90","34,527.02","32,193.93","32,179.04","31,020.60","31,642.48","31,043.58","32,571.64","33,347.40","34,791.12","36,221.51","35,567.76","35,773.95"
45,746,"1,028.89","1,419.07","1,953.99","2,684.06","3,672.88","4,978.90","6,687.49","8,990.91","11,952.09","15,552.92","19,624.33","22,858.11","25,651.83","27,440.08","28,819.46","30,426.35","32,164.59","32,242.13","33,857.71","33,163.41","32,903.93","31,773.70","30,380.42","30,046.08","30,085.26","31,319.44","31,674.59","33,435.52","32,610.94","33,577.48"
46,746,"1,029.43","1,420.55","1,949.47","2,680.94","3,665.23","5,004.73","6,807.56","9,179.85","12,202.18","16,047.83","20,049.35","24,027.80","27,125.77","28,771.63","30,562.39","31,055.38","32,555.68","31,957.65","31,956.43","32,058.16","30,518.24","30,922.30","29,773.02","30,659.32","29,927.96","31,294.06","30,588.56","30,494.90","30,499.26","30,427.13"
